キャンペーンのパフォーマンス
2021年1月1日 - 2026年6月15日
日,キャンペーン,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,コンバージョン,コンバージョン率,コンバージョン単価,すべてのコンバージョン,すべてのコンバージョン値,検索広告の最上部インプレッション シェア,検索広告の上部インプレッション シェア,検索広告のインプレッション シェア,検索広告の IS 損失率（ランク）,検索広告の IS 損失率（予算）
2025-06-09,【CP】検索_リースバックコンサル,35,580,6.03%,JPY,1976,69144,2.00,5.71%,34572,2.00,"2,000.00",10.99%,29.03%,34.83%,21.24%,43.92%
2025-06-10,【CP】検索_リースバックコンサル,31,467,6.64%,JPY,2129,65988,0.00,0.00%,0,0.00,0.00,< 10 %,29.25%,36.12%,16.03%,47.85%
2025-06-11,【CP】検索_リースバックコンサル,26,404,6.44%,JPY,2684,69774,2.00,7.69%,34887,2.00,"2,000.00",10.01%,29.57%,34.54%,17.38%,48.08%
2025-06-12,【CP】検索_リースバックコンサル,33,419,7.88%,JPY,2502,82560,5.00,15.15%,16512,5.00,"5,000.00",< 10 %,24.27%,31.61%,15.51%,52.88%
2025-06-13,【CP】検索_リースバックコンサル,27,329,8.21%,JPY,1709,46149,1.00,3.70%,46149,1.00,"1,000.00",< 10 %,21.47%,28.61%,6.16%,65.23%
2025-06-14,【CP】検索_リースバックコンサル,29,267,10.86%,JPY,2201,63822,0.00,0.00%,0,0.00,0.00,< 10 %,26.84%,37.37%,7.24%,55.39%
2025-06-15,【CP】検索_リースバックコンサル,18,239,7.53%,JPY,2655,47782,0.00,0.00%,0,0.00,0.00,< 10 %,30.77%,35.95%,8.86%,55.18%
2025-06-16,【CP】検索_リースバックコンサル,32,480,6.67%,JPY,2688,86011,0.00,0.00%,0,0.00,0.00,10.34%,32.59%,40.07%,16.32%,43.62%
2025-06-17,【CP】検索_リースバックコンサル,46,507,9.07%,JPY,1525,70144,2.00,4.35%,35072,2.00,"2,000.00",12.09%,26.09%,33.36%,10.40%,56.24%
2025-06-18,【CP】検索_リースバックコンサル,24,539,4.45%,JPY,2769,66467,1.00,4.17%,66467,1.00,"1,000.00",14.83%,43.99%,54.22%,19.31%,26.47%
2025-06-19,【CP】検索_リースバックコンサル,35,446,7.85%,JPY,1680,58815,2.00,5.71%,29408,2.00,"2,000.00",< 10 %,28.17%,36.83%,22.73%,40.44%
2025-06-20,【CP】検索_リースバックコンサル,22,484,4.55%,JPY,2855,62808,1.00,4.55%,62808,1.00,"1,000.00",12.66%,35.33%,47.30%,24.83%,27.88%
2025-06-20,【CP】P-MAX_リースバックコンサル,26,"2,399",1.08%,JPY,14,355,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,> 90 %,0.00%
2025-06-21,【CP】検索_リースバックコンサル,21,294,7.14%,JPY,3400,71397,2.00,9.52%,35698,2.00,"2,000.00",< 10 %,30.59%,38.04%,15.54%,46.43%
2025-06-21,【CP】P-MAX_リースバックコンサル,211,"13,408",1.57%,JPY,51,10703,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,> 90 %,0.57%
2025-06-22,【CP】検索_リースバックコンサル,40,396,10.10%,JPY,1897,75896,1.00,2.50%,75896,1.00,"1,000.00",12.15%,40.12%,49.41%,27.86%,22.73%
2025-06-22,【CP】P-MAX_リースバックコンサル,198,"8,607",2.30%,JPY,25,4939,0.00,0.00%,0,2.00,0.00, --, --,< 10 %,> 90 %,0.00%
2025-06-23,【CP】検索_リースバックコンサル,30,494,6.07%,JPY,1817,54500,1.00,3.33%,54500,1.00,"1,000.00",< 10 %,30.25%,40.53%,23.09%,36.38%
2025-06-23,【CP】P-MAX_リースバックコンサル,36,"1,358",2.65%,JPY,106,3827,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,> 90 %,0.00%
2025-06-24,【CP】検索_リースバックコンサル,11,185,5.95%,JPY,5622,61837,1.00,9.09%,61837,1.00,"1,000.00",< 10 %,16.37%,21.56%,4.77%,73.67%
2025-06-24,【CP】P-MAX_リースバックコンサル,12,459,2.61%,JPY,488,5860,1.00,5.88%,5860,1.00,"1,000.00", --, --,< 10 %,> 90 %,6.32%
2025-06-25,【CP】検索_リースバックコンサル,26,678,3.83%,JPY,1873,48697,2.00,7.69%,24348,2.00,"2,000.00",13.55%,36.50%,47.34%,34.00%,18.66%
2025-06-25,【CP】P-MAX_リースバックコンサル,32,"2,351",1.36%,JPY,158,5051,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,> 90 %,3.12%
2025-06-25,【CP】リマーケティング_リースバックコンサル,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2025-06-26,【CP】検索_リースバックコンサル,21,410,5.12%,JPY,2515,52813,2.00,9.52%,26406,2.00,"2,000.00",< 10 %,29.60%,39.23%,21.65%,39.11%
2025-06-26,【CP】P-MAX_リースバックコンサル,33,"3,107",1.06%,JPY,134,4436,2.00,0.46%,2218,2.00,"2,000.00", --, --,< 10 %,> 90 %,0.89%
2025-06-26,【CP】リマーケティング_リースバックコンサル,146,"24,414",0.60%,JPY,23,3385,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-06-27,【CP】検索_リースバックコンサル,19,221,8.60%,JPY,2727,51807,1.00,5.26%,51807,1.00,"1,000.00",< 10 %,19.85%,26.96%,6.21%,66.83%
2025-06-27,【CP】P-MAX_リースバックコンサル,47,"2,003",2.35%,JPY,157,7398,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,56.50%,42.51%
2025-06-27,【CP】リマーケティング_リースバックコンサル,98,"6,259",1.57%,JPY,4,343,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-06-28,【CP】検索_リースバックコンサル,15,245,6.12%,JPY,3717,55751,2.00,13.33%,27876,2.00,"2,000.00",< 10 %,24.13%,33.64%,10.91%,55.45%
2025-06-28,【CP】P-MAX_リースバックコンサル,49,"2,128",2.30%,JPY,79,3882,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,88.24%,7.84%
2025-06-28,【CP】リマーケティング_リースバックコンサル,68,"6,619",1.03%,JPY,3,227,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-06-29,【CP】検索_リースバックコンサル,11,244,4.51%,JPY,3761,41374,1.50,13.64%,27582,1.50,"1,500.00",< 10 %,21.19%,27.31%,6.48%,66.20%
2025-06-29,【CP】P-MAX_リースバックコンサル,72,"3,054",2.36%,JPY,65,4680,0.00,0.00%,0,1.00,0.00, --, --,< 10 %,83.80%,12.32%
2025-06-29,【CP】リマーケティング_リースバックコンサル,14,"1,253",1.12%,JPY,9,124,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-06-30,【CP】検索_リースバックコンサル,21,376,5.59%,JPY,2297,48233,0.50,2.38%,96466,0.50,500.00,< 10 %,30.58%,45.32%,10.91%,43.76%
2025-06-30,【CP】P-MAX_リースバックコンサル,43,"1,001",4.30%,JPY,103,4411,1.00,0.52%,4411,1.00,"1,000.00", --, --,< 10 %,62.76%,33.14%
2025-06-30,【CP】リマーケティング_リースバックコンサル,14,"1,049",1.33%,JPY,15,216,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-07-01,【CP】検索_リースバックコンサル,28,335,8.36%,JPY,1815,50808,0.00,0.00%,0,0.00,0.00,< 10 %,27.11%,37.66%,18.38%,43.97%
2025-07-01,【CP】P-MAX_リースバックコンサル,27,"1,170",2.31%,JPY,178,4804,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,75.37%,21.22%
2025-07-01,【CP】リマーケティング_リースバックコンサル,131,"6,522",2.01%,JPY,7,891,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-07-02,【CP】検索_リースバックコンサル,15,306,4.90%,JPY,2927,43907,2.00,13.33%,21953,2.00,"2,000.00",< 10 %,24.02%,31.28%,13.56%,55.17%
2025-07-02,【CP】P-MAX_リースバックコンサル,27,"1,868",1.45%,JPY,227,6128,2.00,1.79%,3064,2.00,"2,000.00", --, --,< 10 %,55.34%,43.54%
2025-07-02,【CP】リマーケティング_リースバックコンサル,29,"1,130",2.57%,JPY,7,207,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-07-03,【CP】検索_リースバックコンサル,20,343,5.83%,JPY,2133,42652,1.00,5.00%,42652,1.00,"1,000.00",< 10 %,20.67%,29.88%,8.70%,61.42%
2025-07-03,【CP】P-MAX_リースバックコンサル,74,"2,798",2.64%,JPY,87,6426,0.00,0.00%,0,1.00,0.00, --, --,< 10 %,> 90 %,1.07%
2025-07-03,【CP】リマーケティング_リースバックコンサル,4,70,5.71%,JPY,25,100,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-07-04,【CP】検索_リースバックコンサル,18,228,7.89%,JPY,2136,38442,1.00,5.56%,38442,1.00,"1,000.00",< 10 %,17.45%,24.48%,7.04%,68.48%
2025-07-04,【CP】P-MAX_リースバックコンサル,35,"1,337",2.62%,JPY,275,9637,2.00,2.00%,4819,2.00,"2,000.00", --, --,< 10 %,58.28%,39.34%
2025-07-04,【CP】リマーケティング_リースバックコンサル,59,"4,724",1.25%,JPY,10,561,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-07-05,【CP】検索_リースバックコンサル,20,223,8.97%,JPY,2826,56527,1.00,5.00%,56527,1.00,"1,000.00",< 10 %,22.49%,30.53%,22.11%,47.36%
2025-07-05,【CP】P-MAX_リースバックコンサル,69,"2,513",2.75%,JPY,101,6994,0.00,0.00%,0,1.00,0.00, --, --,< 10 %,> 90 %,0.00%
2025-07-05,【CP】リマーケティング_リースバックコンサル,533,"43,817",1.22%,JPY,8,4060,0.00,0.00%,0,1.00,0.00, --, --, --, --, --
2025-07-06,【CP】検索_リースバックコンサル,16,216,7.41%,JPY,2733,43731,1.00,6.25%,43731,1.00,"1,000.00",< 10 %,27.89%,35.66%,7.57%,56.77%
2025-07-06,【CP】P-MAX_リースバックコンサル,43,"2,639",1.63%,JPY,172,7410,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,> 90 %,6.03%
2025-07-06,【CP】リマーケティング_リースバックコンサル,314,"25,155",1.25%,JPY,18,5764,0.00,0.00%,0,1.00,0.00, --, --, --, --, --
2025-07-07,【CP】検索_リースバックコンサル,27,480,5.63%,JPY,2434,65705,0.00,0.00%,0,0.00,0.00,12.55%,36.25%,47.86%,8.66%,43.48%
2025-07-07,【CP】P-MAX_リースバックコンサル,24,"1,476",1.63%,JPY,241,5782,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,43.81%,54.16%
2025-07-07,【CP】リマーケティング_リースバックコンサル,201,"18,673",1.08%,JPY,14,2848,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-07-08,【CP】検索_リースバックコンサル,23,677,3.40%,JPY,2664,61262,1.00,4.35%,61262,2.00,"1,000.00",12.49%,36.91%,47.69%,25.00%,27.31%
2025-07-08,【CP】P-MAX_リースバックコンサル,53,"1,472",3.60%,JPY,85,4490,1.00,1.49%,4490,1.00,"1,000.00", --, --,< 10 %,> 90 %,0.00%
2025-07-08,【CP】リマーケティング_リースバックコンサル,43,"5,289",0.81%,JPY,14,590,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-07-09,【CP】検索_リースバックコンサル,22,296,7.43%,JPY,3158,69468,5.00,22.73%,13894,5.00,"5,000.00",11.89%,28.94%,37.81%,6.71%,55.48%
2025-07-09,【CP】P-MAX_リースバックコンサル,45,892,5.04%,JPY,97,4378,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,> 90 %,0.00%
2025-07-09,【CP】リマーケティング_リースバックコンサル,164,"32,826",0.50%,JPY,38,6261,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-07-10,【CP】検索_リースバックコンサル,46,417,11.03%,JPY,1680,77265,0.00,0.00%,0,1.00,0.00,< 10 %,32.01%,42.26%,11.55%,46.19%
2025-07-10,【CP】P-MAX_リースバックコンサル,45,"2,692",1.67%,JPY,134,6015,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,> 90 %,0.00%
2025-07-10,【CP】リマーケティング_リースバックコンサル,190,"18,707",1.02%,JPY,19,3644,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-07-11,【CP】検索_リースバックコンサル,26,400,6.50%,JPY,2398,62339,1.00,3.85%,62339,1.00,"1,000.00",< 10 %,27.55%,36.37%,7.51%,56.12%
2025-07-11,【CP】P-MAX_リースバックコンサル,25,620,4.03%,JPY,82,2053,0.00,0.00%,0,1.00,0.00, --, --,< 10 %,> 90 %,0.00%
2025-07-11,【CP】リマーケティング_リースバックコンサル,217,"14,408",1.51%,JPY,17,3600,0.00,0.00%,0,9.00,"4,000.00", --, --, --, --, --
2025-07-12,【CP】検索_リースバックコンサル,16,200,8.00%,JPY,4973,79568,0.00,0.00%,0,0.00,0.00,< 10 %,24.25%,31.59%,7.50%,60.91%
2025-07-12,【CP】P-MAX_リースバックコンサル,66,"4,164",1.59%,JPY,93,6164,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,59.20%,40.30%
2025-07-12,【CP】リマーケティング_リースバックコンサル,171,"14,539",1.18%,JPY,19,3217,0.00,0.00%,0,1.00,0.00, --, --, --, --, --
2025-07-13,【CP】検索_リースバックコンサル,20,367,5.45%,JPY,3129,62572,0.00,0.00%,0,0.00,0.00,11.53%,31.46%,41.86%,26.87%,31.27%
2025-07-13,【CP】P-MAX_リースバックコンサル,43,"2,251",1.91%,JPY,109,4701,1.00,0.78%,4701,1.00,"1,000.00", --, --,< 10 %,> 90 %,5.66%
2025-07-13,【CP】リマーケティング_リースバックコンサル,262,"10,846",2.42%,JPY,19,4965,0.00,0.00%,0,26.00,0.00, --, --, --, --, --
2025-07-14,【CP】検索_リースバックコンサル,30,448,6.70%,JPY,2379,71359,1.00,3.33%,71359,1.00,"1,000.00",< 10 %,26.54%,36.50%,19.53%,43.98%
2025-07-14,【CP】P-MAX_リースバックコンサル,71,"4,350",1.63%,JPY,55,3909,0.00,0.00%,0,0.00,0.00, --, --,< 10 %,58.85%,39.86%
2025-07-14,【CP】リマーケティング_リースバックコンサル,90,"7,710",1.17%,JPY,19,1730,0.00,0.00%,0,4.00,0.00, --, --, --, --, --
2025-07-15,【CP】検索_リースバックコンサル,26,307,8.47%,JPY,2747,71423,1.00,3.85%,71423,2.00,"1,000.00",< 10 %,26.84%,35.17%,8.76%,56.06%
2025-07-15,【CP】P-MAX_リースバックコンサル,9,450,2.00%,JPY,813,7314,2.00,10.53%,3657,2.00,"2,000.00", --, --,< 10 %,51.70%,46.55%
2025-07-15,【CP】リマーケティング_リースバックコンサル,42,"3,767",1.11%,JPY,10,410,0.00,0.00%,0,3.00,0.00, --, --, --, --, --
2025-07-16,【CP】検索_リースバックコンサル,25,407,6.14%,JPY,2648,66194,1.00,4.00%,66194,2.00,"1,000.00",< 10 %,29.56%,40.21%,23.39%,36.40%
2025-07-16,【CP】リマーケティング_リースバックコンサル,15,"1,065",1.41%,JPY,11,161,0.00,0.00%,0,0.00,0.00, --, --, --, --, --
2025-07-17,【CP】検索_リースバックコンサル,24,402,5.97%,JPY,3755,90120,0.00,0.00%,0,0.00,0.00,< 10 %,24.00%,31.38%,24.77%,43.85%
2025-07-18,【CP】検索_リースバックコンサル,14,372,3.76%,JPY,1847,25860,1.00,7.14%,25860,1.00,"1,000.00",13.66%,38.25%,50.09%,31.58%,18.33%
2025-07-22,【CP】検索_リースバックコンサル,5,64,7.81%,JPY,3105,15525,0.00,0.00%,0,0.00,0.00,12.09%,31.87%,45.05%,54.95%,0.00%
2025-07-23,【CP】検索_リースバックコンサル,30,671,4.47%,JPY,1685,50542,0.00,0.00%,0,0.00,0.00,15.19%,44.22%,58.06%,41.94%,0.00%
2025-07-24,【CP】検索_リースバックコンサル,21,531,3.95%,JPY,2473,51942,1.00,4.76%,51942,1.00,"1,000.00",< 10 %,39.38%,54.77%,45.23%,0.00%
2025-07-25,【CP】検索_リースバックコンサル,23,449,5.12%,JPY,2698,62047,0.00,0.00%,0,0.00,0.00,10.86%,38.45%,52.41%,47.59%,0.00%
2025-07-28,【CP】検索_リースバックコンサル,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2025-07-29,【CP】検索_リースバックコンサル,16,271,5.90%,JPY,2125,34007,1.00,6.25%,34007,1.00,"1,000.00",< 10 %,35.03%,45.71%,35.27%,19.03%
2025-07-30,【CP】検索_リースバックコンサル,12,191,6.28%,JPY,5517,66198,2.00,16.67%,33099,2.00,"2,000.00",15.61%,47.32%,62.93%,37.07%,0.00%
2025-07-31,【CP】検索_リースバックコンサル,11,158,6.96%,JPY,4714,51853,1.00,9.09%,51853,1.00,"1,000.00",14.29%,46.86%,57.14%,42.86%,0.00%
2025-08-01,【CP】検索_リースバックコンサル,18,300,6.00%,JPY,2871,51685,4.00,22.22%,12921,4.00,"4,000.00",15.94%,43.48%,59.42%,40.58%,0.00%
2025-08-02,【CP】検索_リースバックコンサル,14,210,6.67%,JPY,4639,64940,1.00,7.14%,64940,1.00,"1,000.00",13.39%,43.51%,60.67%,39.33%,0.00%
2025-08-03,【CP】検索_リースバックコンサル,20,197,10.15%,JPY,2357,47146,0.00,0.00%,0,0.00,0.00,18.42%,43.61%,52.63%,47.37%,0.00%
2025-08-04,【CP】検索_リースバックコンサル,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2025-08-05,【CP】検索_リースバックコンサル,19,180,10.56%,JPY,4214,80061,0.00,0.00%,0,0.00,0.00,18.38%,39.71%,51.84%,1.84%,46.32%
2025-08-06,【CP】検索_リースバックコンサル,14,40,35.00%,JPY,5779,80907,2.00,14.29%,40454,2.00,"2,000.00",< 10 %,14.97%,19.79%,0.53%,79.68%
2025-08-07,【CP】検索_リースバックコンサル,20,227,8.81%,JPY,3812,76247,0.00,0.00%,0,0.00,0.00,24.22%,47.66%,55.86%,25.00%,19.14%
2025-08-08,【CP】検索_リースバックコンサル,30,146,20.55%,JPY,3189,95676,3.00,10.00%,31892,4.00,"3,000.00",18.75%,32.24%,39.26%,23.15%,37.58%
2025-08-09,【CP】検索_リースバックコンサル,25,125,20.00%,JPY,3182,79553,1.00,4.00%,79553,1.00,"1,000.00",19.61%,45.59%,53.33%,17.95%,28.72%
2025-08-09,【CP】検索_「リースバック」完全一致のみ,1,6,16.67%,JPY,11919,11919,0.00,0.00%,0,0.00,0.00,50.00%,50.00%,100.00%,0.00%,0.00%
2025-08-10,【CP】検索_リースバックコンサル,17,89,19.10%,JPY,1661,28241,1.00,5.88%,28241,1.00,"1,000.00",39.44%,73.24%,81.69%,18.31%,0.00%
2025-08-10,【CP】検索_「リースバック」完全一致のみ,2,27,7.41%,JPY,12240,24480,0.00,0.00%,0,0.00,0.00,45.00%,50.00%,90.00%,10.00%,0.00%
2025-08-11,【CP】検索_リースバックコンサル,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2025-08-11,【CP】検索_「リースバック」完全一致のみ,4,12,33.33%,JPY,4106,16423,1.00,25.00%,16423,1.00,"1,000.00",55.56%,100.00%,100.00%,0.00%,0.00%
2025-08-12,【CP】検索_リースバックコンサル,25,112,22.32%,JPY,2713,67824,1.00,4.00%,67824,1.00,"1,000.00",35.33%,50.00%,55.33%,26.67%,18.00%
2025-08-12,【CP】検索_「リースバック」完全一致のみ,4,10,40.00%,JPY,4238,16954,1.00,25.00%,16954,1.00,"1,000.00",100.00%,100.00%,100.00%,0.00%,0.00%
2025-08-13,【CP】検索_リースバックコンサル,13,127,10.24%,JPY,3246,42194,1.00,7.69%,42194,1.00,"1,000.00",34.15%,55.28%,60.16%,39.84%,0.00%
2025-08-13,【CP】検索_「リースバック」完全一致のみ,3,9,33.33%,JPY,10077,30231,1.00,33.33%,30231,1.00,"1,000.00",15.00%,25.00%,25.00%,25.00%,50.00%
2025-08-14,【CP】検索_リースバックコンサル,22,112,19.64%,JPY,3689,81160,1.00,4.55%,81160,1.00,"1,000.00",43.30%,57.73%,63.92%,36.08%,0.00%
2025-08-14,【CP】検索_「リースバック」完全一致のみ,2,24,8.33%,JPY,3297,6594,0.00,0.00%,0,0.00,0.00,64.29%,100.00%,100.00%,0.00%,0.00%
2025-08-15,【CP】検索_リースバックコンサル,19,92,20.65%,JPY,5724,108752,3.00,15.79%,36251,3.00,"3,000.00",47.67%,55.81%,63.95%,19.77%,16.28%
2025-08-15,【CP】検索_「リースバック」完全一致のみ,5,19,26.32%,JPY,8250,41249,0.00,0.00%,0,0.00,0.00,66.67%,83.33%,100.00%,0.00%,0.00%
2025-08-16,【CP】検索_リースバックコンサル,14,56,25.00%,JPY,6165,86315,0.00,0.00%,0,0.00,0.00,36.76%,44.12%,45.59%,7.35%,47.06%
2025-08-16,【CP】検索_「リースバック」完全一致のみ,3,12,25.00%,JPY,3944,11832,0.00,0.00%,0,0.00,0.00,28.57%,57.14%,71.43%,0.00%,28.57%
2025-08-17,【CP】検索_リースバックコンサル,8,82,9.76%,JPY,2840,22721,0.00,0.00%,0,0.00,0.00,51.79%,73.21%,78.57%,21.43%,0.00%
2025-08-17,【CP】検索_「リースバック」完全一致のみ,3,8,37.50%,JPY,17672,53016,1.00,33.33%,53016,1.00,"1,000.00",12.50%,16.67%,16.67%,16.67%,66.67%
2025-08-18,【CP】検索_リースバックコンサル,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2025-08-18,【CP】検索_「リースバック」完全一致のみ,0,11,0.00%,JPY,0,0,0.00,0,0,0.00,0.00,83.33%,83.33%,100.00%,0.00%,0.00%
2025-08-19,【CP】検索_リースバックコンサル,21,179,11.73%,JPY,3264,68546,0.00,0.00%,0,0.00,0.00,63.85%,66.15%,73.08%,26.92%,0.00%
2025-08-19,【CP】検索_「リースバック」完全一致のみ,2,9,22.22%,JPY,12647,25294,1.00,50.00%,25294,1.00,"1,000.00",26.67%,33.33%,33.33%,33.33%,33.33%
2025-08-20,【CP】検索_リースバックコンサル,1,2,50.00%,JPY,52550,52550,0.00,0.00%,0,0.00,0.00,< 10 %,< 10 %,< 10 %,0.00%,> 90 %
2025-08-20,【CP】検索_「リースバック」完全一致のみ,3,16,18.75%,JPY,5149,15447,0.00,0.00%,0,0.00,0.00,44.44%,55.56%,55.56%,33.33%,11.11%
2025-08-21,【CP】検索_リースバックコンサル,11,31,35.48%,JPY,4347,47816,0.00,0.00%,0,0.00,0.00,37.74%,39.62%,41.51%,0.00%,58.49%
2025-08-21,【CP】検索_「リースバック」完全一致のみ,3,12,25.00%,JPY,8694,26081,0.00,0.00%,0,1.00,0.00,62.50%,87.50%,87.50%,12.50%,0.00%
2025-08-22,【CP】検索_リースバックコンサル,8,38,21.05%,JPY,4755,38038,1.00,12.50%,38038,1.00,"1,000.00",33.96%,56.60%,66.04%,0.00%,33.96%
2025-08-22,【CP】検索_「リースバック」完全一致のみ,1,22,4.55%,JPY,1072,1072,0.00,0.00%,0,0.00,0.00,50.00%,83.33%,100.00%,0.00%,0.00%
2025-08-23,【CP】検索_リースバックコンサル,6,60,10.00%,JPY,2254,13525,0.00,0.00%,0,0.00,0.00,54.17%,62.50%,75.00%,25.00%,0.00%
2025-08-23,【CP】検索_「リースバック」完全一致のみ,3,40,7.50%,JPY,11182,33547,0.00,0.00%,0,0.00,0.00,38.71%,61.29%,80.65%,16.13%,3.23%
2025-08-24,【CP】検索_リースバックコンサル,4,24,16.67%,JPY,7031,28123,0.00,0.00%,0,0.00,0.00,32.14%,46.43%,46.43%,3.57%,50.00%
2025-08-24,【CP】検索_「リースバック」完全一致のみ,1,7,14.29%,JPY,5954,5954,0.00,0.00%,0,0.00,0.00,50.00%,50.00%,50.00%,50.00%,0.00%
2025-08-25,【CP】検索_リースバックコンサル,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2025-08-26,【CP】検索_リースバックコンサル,5,81,6.17%,JPY,2822,14112,0.00,0.00%,0,0.00,0.00,28.69%,33.61%,36.89%,12.30%,50.82%
2025-08-26,【CP】検索_「リースバック」完全一致のみ,0,8,0.00%,JPY,0,0,0.00,0,0,0.00,0.00,37.50%,50.00%,50.00%,0.00%,50.00%
2025-08-27,【CP】検索_リースバックコンサル,5,113,4.42%,JPY,6268,31339,1.00,20.00%,31339,1.00,"1,000.00",51.25%,68.75%,80.00%,20.00%,0.00%
2025-08-27,【CP】検索_「リースバック」完全一致のみ,2,22,9.09%,JPY,6229,12458,0.00,0.00%,0,0.00,0.00,29.41%,70.59%,76.47%,23.53%,0.00%
2025-08-28,【CP】検索_リースバックコンサル,1,8,12.50%,JPY,7124,7124,0.00,0.00%,0,0.00,0.00,50.00%,62.50%,62.50%,37.50%,0.00%
2025-08-28,【CP】検索_「リースバック」完全一致のみ,3,5,60.00%,JPY,5403,16208,0.00,0.00%,0,0.00,0.00,< 10 %,10.71%,10.71%,32.14%,57.14%
2025-08-29,【CP】検索_「リースバック」完全一致のみ,2,18,11.11%,JPY,6994,13987,1.00,50.00%,13987,1.00,"1,000.00",45.45%,81.82%,100.00%,0.00%,0.00%
2025-08-30,【CP】検索_「リースバック」完全一致のみ,1,17,5.88%,JPY,5985,5985,1.00,100.00%,5985,1.00,"1,000.00",38.46%,76.92%,84.62%,15.38%,0.00%
2025-08-31,【CP】検索_「リースバック」完全一致のみ,1,14,7.14%,JPY,16922,16922,0.00,0.00%,0,0.00,0.00,16.67%,44.44%,50.00%,50.00%,0.00%
2025-09-01,【CP】検索_「リースバック」完全一致のみ,2,23,8.70%,JPY,3975,7950,0.00,0.00%,0,0.00,0.00,66.67%,86.67%,93.33%,6.67%,0.00%
2025-09-02,【CP】検索_「リースバック」完全一致のみ,4,16,25.00%,JPY,6476,25902,1.00,25.00%,25902,1.00,"1,000.00",50.00%,90.00%,90.00%,10.00%,0.00%
2025-09-03,【CP】検索_「リースバック」完全一致のみ,3,16,18.75%,JPY,2972,8915,0.00,0.00%,0,0.00,0.00,66.67%,83.33%,83.33%,16.67%,0.00%
2025-09-07,NEW［不動産］リースバック,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2025-09-08,NEW［不動産］リースバック,34,481,7.07%,JPY,2272,77240,2.00,5.88%,38620,2.00,"2,000.00",11.34%,45.38%,61.13%,38.87%,0.00%
2025-09-09,NEW［不動産］リースバック,35,651,5.38%,JPY,1820,63707,2.00,5.71%,31853,2.00,"2,000.00",< 10 %,38.04%,53.31%,46.69%,0.00%
2025-09-10,NEW［不動産］リースバック,21,360,5.83%,JPY,3268,68620,1.00,4.76%,68620,1.00,"1,000.00",< 10 %,23.46%,34.32%,45.21%,20.47%
2025-09-11,NEW［不動産］リースバック,17,339,5.01%,JPY,2514,42746,3.00,17.65%,14249,3.00,"3,000.00",< 10 %,17.30%,30.41%,54.19%,15.41%
2025-09-12,NEW［不動産］リースバック,14,304,4.61%,JPY,4485,62784,1.00,7.14%,62784,1.00,"1,000.00",< 10 %,19.75%,32.13%,24.20%,43.67%
2025-09-13,NEW［不動産］リースバック,27,325,8.31%,JPY,1674,45210,1.00,3.70%,45210,1.00,"1,000.00",< 10 %,33.33%,43.50%,49.59%,6.91%
2025-09-14,NEW［不動産］リースバック,34,448,7.59%,JPY,2008,68259,1.00,2.94%,68259,1.00,"1,000.00",11.20%,40.40%,53.20%,46.80%,0.00%
2025-09-15,NEW［不動産］リースバック,31,421,7.36%,JPY,2008,62237,3.00,9.68%,20746,3.00,"3,000.00",10.30%,43.56%,56.01%,43.99%,0.00%
2025-09-16,NEW［不動産］リースバック,22,287,7.67%,JPY,3216,70752,4.00,18.18%,17688,4.00,"4,000.00",< 10 %,18.19%,27.21%,29.14%,43.65%
